h3_start,hour,trip_count
892a1001203ffff,0,9
892a1001203ffff,1,9
892a1001203ffff,2,4
892a1001203ffff,3,5
892a1001203ffff,4,2
892a1001203ffff,5,5
892a1001203ffff,6,16
892a1001203ffff,7,82
892a1001203ffff,8,59
892a1001203ffff,9,32
892a1001203ffff,10,14
892a1001203ffff,11,19
892a1001203ffff,12,20
892a1001203ffff,13,26
892a1001203ffff,14,43
892a1001203ffff,15,45
892a1001203ffff,16,51
892a1001203ffff,17,80
892a1001203ffff,18,48
892a1001203ffff,19,34
892a1001203ffff,20,32
892a1001203ffff,21,21
892a1001203ffff,22,19
892a1001203ffff,23,18
892a1001207ffff,0,13
892a1001207ffff,1,12
892a1001207ffff,2,9
892a1001207ffff,3,2
892a1001207ffff,4,7
892a1001207ffff,5,14
892a1001207ffff,6,11
892a1001207ffff,7,56
892a1001207ffff,8,71
892a1001207ffff,9,51
892a1001207ffff,10,42
892a1001207ffff,11,53
892a1001207ffff,12,51
892a1001207ffff,13,47
892a1001207ffff,14,75
892a1001207ffff,15,70
892a1001207ffff,16,80
892a1001207ffff,17,68
892a1001207ffff,18,75
892a1001207ffff,19,61
892a1001207ffff,20,69
892a1001207ffff,21,50
892a1001207ffff,22,36
892a1001207ffff,23,21
892a100120bffff,0,16
892a100120bffff,1,10
892a100120bffff,2,7
892a100120bffff,3,1
892a100120bffff,6,3
892a100120bffff,7,11
892a100120bffff,8,23
892a100120bffff,9,17
892a100120bffff,10,16
892a100120bffff,11,41
892a100120bffff,12,40
892a100120bffff,13,49
892a100120bffff,14,39
892a100120bffff,15,74
892a100120bffff,16,53
892a100120bffff,17,59
892a100120bffff,18,56
892a100120bffff,19,30
892a100120bffff,20,39
892a100120bffff,21,18
892a100120bffff,22,16
892a100120bffff,23,12
892a100120fffff,0,38
892a100120fffff,1,21
892a100120fffff,2,19
892a100120fffff,3,16
892a100120fffff,4,10
892a100120fffff,5,5
892a100120fffff,6,24
892a100120fffff,7,200
892a100120fffff,8,144
892a100120fffff,9,86
892a100120fffff,10,92
892a100120fffff,11,93
892a100120fffff,12,147
892a100120fffff,13,97
892a100120fffff,14,114
892a100120fffff,15,207
892a100120fffff,16,141
892a100120fffff,17,158
892a100120fffff,18,138
892a100120fffff,19,133
892a100120fffff,20,87
892a100120fffff,21,95
892a100120fffff,22,98
892a100120fffff,23,69
892a1001213ffff,0,15
892a1001213ffff,1,11
892a1001213ffff,2,5
892a1001213ffff,3,4
892a1001213ffff,4,7
892a1001213ffff,5,6
892a1001213ffff,6,55
892a1001213ffff,7,94
892a1001213ffff,8,103
892a1001213ffff,9,49
892a1001213ffff,10,45
892a1001213ffff,11,53
892a1001213ffff,12,72
892a1001213ffff,13,95
892a1001213ffff,14,122
892a1001213ffff,15,144
892a1001213ffff,16,141
892a1001213ffff,17,126
892a1001213ffff,18,113
892a1001213ffff,19,103
892a1001213ffff,20,84
892a1001213ffff,21,67
892a1001213ffff,22,49
892a1001213ffff,23,42
892a1001217ffff,0,3
892a1001217ffff,2,3
892a1001217ffff,3,2
892a1001217ffff,4,2
892a1001217ffff,5,1
892a1001217ffff,6,4
892a1001217ffff,7,21
892a1001217ffff,8,20
892a1001217ffff,9,20
892a1001217ffff,10,13
892a1001217ffff,11,13
892a1001217ffff,12,10
892a1001217ffff,13,18
892a1001217ffff,14,23
892a1001217ffff,15,27
892a1001217ffff,16,28
892a1001217ffff,17,29
892a1001217ffff,18,22
892a1001217ffff,19,16
892a1001217ffff,20,18
892a1001217ffff,21,18
892a1001217ffff,22,9
892a100121bffff,0,6
892a100121bffff,1,7
892a100121bffff,2,2
892a100121bffff,3,2
892a100121bffff,4,1
892a100121bffff,5,4
892a100121bffff,6,5
892a100121bffff,7,13
892a100121bffff,8,15
892a100121bffff,9,18
892a100121bffff,10,39
892a100121bffff,11,38
892a100121bffff,12,113
892a100121bffff,13,26
892a100121bffff,14,75
892a100121bffff,15,80
892a100121bffff,16,28
892a100121bffff,17,51
892a100121bffff,18,34
892a100121bffff,19,17
892a100121bffff,20,11
892a100121bffff,21,17
892a100121bffff,22,20
892a100121bffff,23,5
892a1001223ffff,0,2
892a1001223ffff,2,3
892a1001223ffff,3,1
892a1001223ffff,4,13
892a1001223ffff,5,33
892a1001223ffff,6,3
892a1001223ffff,7,20
892a1001223ffff,8,6
892a1001223ffff,9,5
892a1001223ffff,10,9
892a1001223ffff,11,8
892a1001223ffff,12,14
892a1001223ffff,13,14
892a1001223ffff,14,24
892a1001223ffff,15,30
892a1001223ffff,16,16
892a1001223ffff,17,33
892a1001223ffff,18,17
892a1001223ffff,19,13
892a1001223ffff,20,13
892a1001223ffff,21,14
892a1001223ffff,22,10
892a1001223ffff,23,11
892a100122bffff,0,18
892a100122bffff,1,18
892a100122bffff,2,6
892a100122bffff,3,6
892a100122bffff,4,2
892a100122bffff,5,16
892a100122bffff,6,26
892a100122bffff,7,61
892a100122bffff,8,63
892a100122bffff,9,30
892a100122bffff,10,26
892a100122bffff,11,42
892a100122bffff,12,37
892a100122bffff,13,49
892a100122bffff,14,70
892a100122bffff,15,76
892a100122bffff,16,74
892a100122bffff,17,83
892a100122bffff,18,92
892a100122bffff,19,65
892a100122bffff,20,74
892a100122bffff,21,40
892a100122bffff,22,45
892a100122bffff,23,32
892a1001233ffff,0,25
892a1001233ffff,1,13
892a1001233ffff,2,10
892a1001233ffff,3,7
892a1001233ffff,4,5
892a1001233ffff,5,34
892a1001233ffff,6,69
892a1001233ffff,7,109
892a1001233ffff,8,117
892a1001233ffff,9,42
892a1001233ffff,10,34
892a1001233ffff,11,45
892a1001233ffff,12,63
892a1001233ffff,13,94
892a1001233ffff,14,97
892a1001233ffff,15,152
892a1001233ffff,16,118
892a1001233ffff,17,157
892a1001233ffff,18,138
892a1001233ffff,19,68
892a1001233ffff,20,99
892a1001233ffff,21,81
892a1001233ffff,22,79
892a1001233ffff,23,32
892a100123bffff,0,21
892a100123bffff,1,7
892a100123bffff,2,7
892a100123bffff,3,3
892a100123bffff,4,5
892a100123bffff,5,18
892a100123bffff,6,14
892a100123bffff,7,27
892a100123bffff,8,30
892a100123bffff,9,17
892a100123bffff,10,21
892a100123bffff,11,21
892a100123bffff,12,25
892a100123bffff,13,41
892a100123bffff,14,45
892a100123bffff,15,51
892a100123bffff,16,40
892a100123bffff,17,54
892a100123bffff,18,52
892a100123bffff,19,36
892a100123bffff,20,41
892a100123bffff,21,35
892a100123bffff,22,34
892a100123bffff,23,26
892a1001247ffff,0,5
892a1001247ffff,1,2
892a1001247ffff,2,1
892a1001247ffff,5,1
892a1001247ffff,7,5
892a1001247ffff,8,3
892a1001247ffff,9,7
892a1001247ffff,10,20
892a1001247ffff,11,26
892a1001247ffff,12,39
892a1001247ffff,13,67
892a1001247ffff,14,81
892a1001247ffff,15,76
892a1001247ffff,16,26
892a1001247ffff,17,49
892a1001247ffff,18,30
892a1001247ffff,19,39
892a1001247ffff,20,23
892a1001247ffff,21,11
892a1001247ffff,22,7
892a100124bffff,17,1
892a100124fffff,0,1
892a100124fffff,1,1
892a100124fffff,4,1
892a100124fffff,6,6
892a100124fffff,7,8
892a100124fffff,8,3
892a100124fffff,9,4
892a100124fffff,10,1
892a100124fffff,11,1
892a100124fffff,13,4
892a100124fffff,14,7
892a100124fffff,15,8
892a100124fffff,16,2
892a100124fffff,17,13
892a100124fffff,18,3
892a100124fffff,19,1
892a100124fffff,20,5
892a100124fffff,21,10
892a100124fffff,22,1
892a100125bffff,1,3
892a100125bffff,3,1
892a100125bffff,4,1
892a100125bffff,6,1
892a100125bffff,7,9
892a100125bffff,8,3
892a100125bffff,9,3
892a100125bffff,10,2
892a100125bffff,11,3
892a100125bffff,12,3
892a100125bffff,13,9
892a100125bffff,14,6
892a100125bffff,15,10
892a100125bffff,16,7
892a100125bffff,17,9
892a100125bffff,18,7
892a100125bffff,19,4
892a100125bffff,20,1
892a100125bffff,21,8
892a100125bffff,23,1
892a1001263ffff,0,21
892a1001263ffff,1,9
892a1001263ffff,2,3
892a1001263ffff,3,7
892a1001263ffff,4,4
892a1001263ffff,5,13
892a1001263ffff,6,9
892a1001263ffff,7,36
